run_name,protocol,status,summary_path,config_snapshot_path,created_at
C2DTI_EVAL_DAVIS_RANDOM_FULL_S10,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S10-20260424-203901/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S10-20260424-203901/config_snapshot.yaml,2026-04-24T20:39:01
C2DTI_EVAL_DAVIS_RANDOM_FULL_S34,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S34-20260424-203905/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S34-20260424-203905/config_snapshot.yaml,2026-04-24T20:39:05
C2DTI_EVAL_DAVIS_RANDOM_FULL_S42,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S42-20260424-203908/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S42-20260424-203908/config_snapshot.yaml,2026-04-24T20:39:08
C2DTI_EVAL_DAVIS_RANDOM_FULL_S10,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S10-20260424-214917/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S10-20260424-214917/config_snapshot.yaml,2026-04-24T21:49:17
C2DTI_EVAL_DAVIS_RANDOM_FULL_S34,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S34-20260424-214922/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S34-20260424-214922/config_snapshot.yaml,2026-04-24T21:49:22
C2DTI_EVAL_DAVIS_RANDOM_FULL_S42,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S42-20260424-214926/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_FULL_S42-20260424-214926/config_snapshot.yaml,2026-04-24T21:49:26
C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S10,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S10-20260424-214931/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S10-20260424-214931/config_snapshot.yaml,2026-04-24T21:49:31
C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S34,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S34-20260424-214935/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S34-20260424-214935/config_snapshot.yaml,2026-04-24T21:49:35
C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S42,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S42-20260424-214940/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CAUSAL_S42-20260424-214940/config_snapshot.yaml,2026-04-24T21:49:40
C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S10,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S10-20260424-214944/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S10-20260424-214944/config_snapshot.yaml,2026-04-24T21:49:44
C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S34,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S34-20260424-214948/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S34-20260424-214948/config_snapshot.yaml,2026-04-24T21:49:48
C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S42,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S42-20260424-214953/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_IRM_S42-20260424-214953/config_snapshot.yaml,2026-04-24T21:49:53
C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S10,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S10-20260424-214957/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S10-20260424-214957/config_snapshot.yaml,2026-04-24T21:49:57
C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S34,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S34-20260424-215001/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S34-20260424-215001/config_snapshot.yaml,2026-04-24T21:50:01
C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S42,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S42-20260424-215006/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_CF_S42-20260424-215006/config_snapshot.yaml,2026-04-24T21:50:06
C2DTI_EVAL_DAVIS_RANDOM_NO_MAS_S10,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_MAS_S10-20260424-215010/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_MAS_S10-20260424-215010/config_snapshot.yaml,2026-04-24T21:50:10
C2DTI_EVAL_DAVIS_RANDOM_NO_MAS_S34,P1,completed,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_MAS_S34-20260424-215014/summary.json,/home/hussen/MINDG/C2DTI/outputs/runs/C2DTI_EVAL_DAVIS_RANDOM_NO_MAS_S34-20260424-215014/config_snapshot.yaml,2026-04-24T21:50:14
